Temperature,Exposure duration,pH,Light,Type,Size,Concentration,Transcription,Cellular community - prokaryotes,Amino acid metabolism,Drug resistance: antimicrobial,"Folding, sorting and degradation",Infectious disease: bacterial,Lipid metabolism,Membrane transport,Translation,Carbohydrate metabolism,Xenobiotics biodegradation and metabolism,Energy metabolism
27,14,#N/A,#N/A,PVC,0.2,0.00001,194874.08,28837.08,113416.66,7248.61,40174.7,7213.52,73122.43,130776.49,98962.92,6469.93,5578.55,45540.88
27,14,#N/A,#N/A,PVC,0.2,0.00001,430537.75,68843.58,241752.62,18041.91,82349.57,18386.24,155306.9,325255.2,188770.49,11178.84,11424.09,100063.99
25,15,7.3,12,PS,0.2,0.005,1493053.97,59770.24,848301.97,52666.35,354865.52,38696.02,485494.81,355744.16,977514.94,41835.6,26980.51,318183.3
25,15,7.3,12,PS,0.2,0.005,2434009.75,107694.63,1415452.53,77378.95,577834.36,52172.81,719778.19,600280.39,1559166.4,67401.94,38681.54,495393.41
25,15,7.3,12,PS,0.2,0.005,4095511.55,195791.28,2429652.29,138169.64,958360.93,93744.11,1285306.86,1193845.43,2569554.87,112946.79,83132.48,867873.16
25,15,7.3,12,PS,0.2,0.005,5614557.62,304242.84,3192352.96,208371.35,1182057.75,119671,1514847.87,2150982.72,3242109.28,144896.68,83074.19,1134955.71
25,15,7.3,12,PS,0.2,0.005,3979786.62,190865.2,2409277.06,145253.28,942248.87,88492.42,1295802.88,1167460.59,2484061.59,108571.52,71637.93,859970.96
25,15,7.3,12,PS,0.2,0.005,12582119.11,1537150.99,6552100.94,506671.39,2179165.26,747585.63,4454979.52,6806046.72,4648659.29,248100.69,628202.6,2752333.46
35,30,7.3,12,PS,0.2,0.005,4411210.12,332429.94,2582486.53,138017.31,879964.78,94547.01,1200399.14,1946456.96,2580133.31,124178.57,47347.19,890853.39
35,30,7.3,12,PS,0.2,0.005,3092352.94,157021.26,1746525.4,101674.88,670473.3,69990.2,872687.18,968628.86,1884970.29,86189.09,48960.03,636827.46
25,30,7.3,12,PS,0.2,0.005,3830933.8,303523.37,2234783.57,112374.03,784499.84,89120.43,1092310.29,1483379.07,2324587.25,111456.28,69507.97,810280.58
25,30,7.3,12,PS,0.2,0.005,7611437.4,501969.71,4103463.05,231214.72,1523356.72,167161.12,1979315.26,3223985.52,4397564.76,210876.4,92051.84,1496774.57
25,30,7.3,12,PS,0.2,0.005,3587048.23,244100.96,2003151.95,124814.92,736734.72,79717.07,1000695.12,1136370.7,2070442.85,91962.74,55607.01,730535.96
28,28,7.1,14,PS,0.49,0.000066,3483398.04,524448.77,2767816.55,164162.99,1103659.3,97441.07,2432253.59,1810447.73,2647037.65,135624.31,127175.36,1289542.17
28,28,7.1,14,PS,0.49,0.000066,3407179.15,253956.27,2387722.37,100960.3,1075603.03,78001.07,1492194.33,1547898.59,2673487.07,141378.45,34543.2,937383.89
28,28,7.1,14,PS,0.49,0.000066,5397027.92,856457.27,3488357.82,149536.8,1340789.84,74436.83,2040730.72,2740015.53,3069343.45,173307.77,96407.91,1338777.16
28,28,7.1,14,PS,0.49,0.000069,6224952.29,576807.04,3025999.75,310116.5,949321.47,307852.97,2187981.83,3190245.69,2138991.64,110579.94,218443.16,1177641.74
28,28,7.1,14,PS,0.49,0.000069,1628398.47,103747.41,978031.93,29875.97,354152.78,44320.57,677383.11,619964.42,820840.89,47016.34,116493.7,467196.01
28,28,7.1,14,PS,0.49,0.000069,5521589.77,822422.81,3645881.51,172262.7,1434699.53,77780.51,2199997.5,2748519.88,3266385.48,182304.52,89535.09,1397336.59
37,1,NA,0,PS,1,0.008,6265015.65,403006.37,3307805.74,188498.51,1235625.06,120192.47,1584866.5,2454058.67,3488484.9,167628.35,105001.13,1229188.34
37,1,NA,0,PS,1,0.008,5242795.45,409881.41,2899517.26,147207.32,927230.14,107657.28,1206776.91,2858560.87,2849484.53,142951.22,51619.91,996235.03
37,1,7.2,0,PS,1,0.008,3572593.53,213932.23,1638884.95,91786.26,722613.73,57894,842861.77,1154085.99,2020160.76,101756.98,79166.6,711771.99
37,1,NA,0,PS,1,0.008,4554981.72,395396.58,1831513.88,64299.5,902250.55,49552.35,1003446.6,1836238.58,2682722.76,151302.57,133540.79,922059.02
37,1,NA,0,PS,1,0.008,5214765.19,361578.56,2797938.15,145257.84,963340.22,103769.5,1225497.32,2413347.8,2786112.61,133577.06,72915.71,1000468.94
37,1,7.2,0,PS,1,0.008,4945537.28,394977.99,2604986.3,131298.7,894847.49,92246.87,1135905.45,2498697.25,2689323.15,136862.1,67950.56,947465.28
37,1,7.2,0,PS,1,0.008,3433240.25,200470.23,1637605.06,96627.36,708744.97,57934.01,850505.95,1061543.28,1940735.22,94414.05,78069.28,686291.73
37,1,7.2,0,PS,1,0.008,3218492.08,180500.24,1678283.23,107352.05,622515.41,63767.5,787202.55,1169215.26,1721423.67,79764.33,49019.39,620248.84
37,1,NA,0,PS,1,0.008,4797268.68,299284.71,2201081.4,120832.6,977911.73,74182.22,1141028.36,1582496.82,2752425.15,140429.32,113740.58,968196.57
37,1,7.2,0,PS,1,0.008,3915667.87,191778.12,1849477.2,115501.91,793593.6,70308.43,958416.28,1099929.82,2144987.67,102960.24,93864.03,779931.32
37,1,7.2,0,PS,1,0.008,597642.43,40900.53,270151.59,12998.32,121688.14,8849.24,141580.44,215835.19,353796.57,18564.21,14279.08,119898.98
37,1,7.2,0,PS,1,0.008,3580497.39,230791.7,1392684.68,58212.08,682139.33,48312.65,721682.1,1297019.64,2024094.63,114425.14,90555.58,704836.33
37,1,7.2,0,PS,1,0.008,3916906.08,281026.25,2007274.64,107479.07,750212.96,69820.2,943154.62,1666863.61,2174603.15,108265.08,69200.29,767229.6
37,1,NA,0,PS,1,0.008,3341499.96,169199.14,1751772.92,105975.78,668328.14,67143.27,865572.31,1098269.39,1821220.18,84270.24,75315.86,674776.05
37,1,7.2,0,PS,1,0.008,3833892.19,176435.29,1781727.5,100900.5,797181.22,63189.86,929512.27,1117680.69,2284545.54,114446.62,87902.46,772781.52
37,1,7.2,0,PS,1,0.008,5579526.82,410435.93,2883796.12,146405.18,1028002.08,102407.15,1293951.07,2543532.42,2972401.78,146115.27,91389.42,1074801.6
37,1,7.2,0,PS,1,0.008,6176377.32,468918.82,3318791.07,156439.09,1091178.54,121317.02,1399048.8,3201613.43,3236782,158571.24,83214.58,1175201.94
37,1,7.2,0,PS,1,0.008,5220403.9,350284.86,2823631.81,169571.44,996783.8,106742.37,1313605.94,2192251.64,2859815.47,135773.36,69200.27,1014897.51
37,1,7.2,0,PS,1,0.008,6139424.91,471220.73,3304654.46,157507.92,1076512.83,120690.04,1379425.25,3188083.03,3200098.67,156624.16,77644.38,1162548.11
37,1,NA,0,PS,1,0.008,6441046.1,472990.37,3414324.68,165223.09,1157979.91,123742.68,1456140.23,3186815.24,3396874.56,166186.15,91860.79,1227280.96
37,1,7.2,0,PS,1,0.008,4663125.24,303727.37,2218326.46,108363.81,913713.96,74179.54,1084522.8,1800363.96,2658771.45,137094.02,99937.36,929789.48
37,1,7.2,0,PS,1,0.008,4330460.03,294411.79,1904989.95,87364.62,842888.51,62334.98,981294.79,1623674.06,2483409.89,133644.78,107611.2,869395.18
37,1,NA,0,PS,1,0.008,3292283.08,210949.09,1680757.08,97886.45,638058.66,61830.29,798529.81,1273124.57,1800451.71,86765.01,54756.59,637294.99
37,1,NA,0,PS,1,0.008,4907560.19,366322.14,2462257.68,141315.24,892153.19,87342.03,1102447.22,2136121.59,2594244.29,130068.92,77096.35,941469.99
37,1,NA,0,PS,1,0.008,3549558,206962.02,1755782.02,104160.99,694786.54,64765.64,849027.64,1228098.94,1941801.81,93700.84,64881.46,693755.6
37,1,NA,0,PS,1,0.008,3790599.48,233750.02,1814403.16,105399.72,740736.57,64947.77,895756.3,1320814.27,2081579.88,103143.21,77671.33,745324.2
37,1,NA,0,PS,1,0.008,4758122.89,355091.68,2513234.04,124072.27,893981.12,89103.06,1139632.17,2192669.53,2558003.78,124345.12,79937.84,925483.27
37,1,NA,0,PS,1,0.008,4092580.59,283602.36,2081801.6,114688.63,755785.78,75274.36,950034.11,1763572.61,2216964.12,110270.55,60454.05,789091.35
37,1,7.2,0,PS,1,0.008,2877803.61,170105.28,1290856.3,66734.15,586889.52,42242.08,682427.71,921915.58,1678135.38,86869.45,74799.86,582876.32
37,1,7.2,0,PS,1,0.008,2369546.4,96246.05,1225919.21,82468.73,503804.04,47746.05,631791.27,581904.76,1334432.9,59563.85,48240.47,475770.23
37,1,NA,0,PS,1,0.008,2792958.05,144928.02,1397945.35,87711.11,563504.72,53411.85,701357.56,863127.89,1548233.21,73465.86,56645.31,558467.07
37,1,NA,0,PS,1,0.008,4036955.22,220223.75,1836232.58,106776.78,836020.64,66335.49,978502.05,1153569.26,2290817.82,113249.89,98385.83,810086.21
37,1,NA,0,PS,1,0.008,4362557.33,333584.38,2091871.27,95711.13,844875.3,66584.87,1037280.67,1811079.05,2471354.23,129519.5,100016.61,878657.22
37,1,NA,0,PS,1,0.008,2888141.47,179231.09,1406742.02,85547.1,564784.4,50832.93,685910.8,989186.8,1569337.53,75917.89,53428.59,561391.02
37,1,NA,0,PS,1,0.008,6667773.43,541604.25,3611204.84,172818.13,1165541.31,130981.52,1492455.65,3662165.35,3536799.23,176781.88,77256.21,1260554.93
37,1,7.2,0,PS,1,0.008,10121237,767001.95,5303153.3,254872.9,1820525.6,190519.65,2290786.4,5029594.5,5344484.7,263987.45,147568.55,1932628.8
37,1,NA,0,PS,1,0.008,5460281.93,409127.94,2688614.38,150122.71,951360.54,102412.33,1138722.13,2701694,2842134.5,146067.41,63130.53,1019928.59
37,1,NA,0,PS,1,0.008,3569038.12,236329.37,1548609.78,71045.38,714792.72,47718.62,805355.09,1275054.54,2106836.15,113797.72,92541.2,721894.28
37,1,7.2,0,PS,1,0.008,1867510.49,143117.55,980516.75,56003.6,341114.54,35460.86,425092.13,890647.31,1000943.57,49925.97,24902.4,359694.75
